,Sell,Buying,Currency,Date
0,22.7413,22.661,JPY,2/23/2023
1,22.7683,22.6873,JPY,2/22/2023
2,22.7689,22.6852,JPY,2/21/2023
3,22.8478,22.7717,JPY,2/20/2023
4,22.8278,22.7504,JPY,2/19/2023
5,22.8926,22.8154,JPY,2/16/2023
6,22.9475,22.871,JPY,2/15/2023
7,23.1575,23.0757,JPY,2/14/2023
8,23.0453,22.9661,JPY,2/13/2023
9,23.2733,23.1908,JPY,2/12/2023
10,23.3393,23.263,JPY,2/9/2023
11,23.2502,23.1721,JPY,2/8/2023
12,22.9789,22.906,JPY,2/7/2023
13,22.9872,22.9125,JPY,2/6/2023
14,23.1248,23.0455,JPY,2/5/2023
15,23.5785,23.5044,JPY,2/2/2023
16,23.3073,23.2312,JPY,2/1/2023
17,23.1734,23.0979,JPY,1/31/2023
18,23.0802,22.9926,JPY,1/30/2023
19,23.0596,22.9835,JPY,1/29/2023
20,23.0937,23.0265,JPY,1/25/2023
21,22.9958,22.9237,JPY,1/24/2023
22,22.9487,22.8799,JPY,1/23/2023
23,23.0695,22.9974,JPY,1/22/2023
24,23.2406,23.1534,JPY,1/19/2023
25,23.0037,22.909,JPY,1/18/2023
26,23.0057,22.8944,JPY,1/17/2023
27,23.1409,23.0426,JPY,1/16/2023
28,23.1854,23.1121,JPY,1/15/2023
29,22.6649,22.5593,JPY,1/12/2023
30,22.4373,22.3311,JPY,1/11/2023
31,20.9725,20.9174,JPY,1/10/2023
32,20.8526,20.7969,JPY,1/9/2023
33,20.4704,20.3904,JPY,1/5/2023
34,20.2673,20.1693,JPY,1/4/2023
35,18.9471,18.8834,JPY,1/3/2023
36,18.9554,18.887,JPY,1/2/2023
37,18.5281,18.4617,JPY,12/29/2022
38,18.5216,18.4615,JPY,12/28/2022
39,18.5858,18.5261,JPY,12/27/2022
40,18.6053,18.5423,JPY,12/26/2022
41,18.6502,18.5835,JPY,12/25/2022
42,18.7433,18.6764,JPY,12/22/2022
43,18.79,18.7218,JPY,12/21/2022
44,18.6894,18.6271,JPY,12/20/2022
45,18.1683,18.1065,JPY,12/19/2022
46,18.0959,18.0353,JPY,12/18/2022
47,18.1118,18.0506,JPY,12/15/2022
48,18.3234,18.2606,JPY,12/14/2022
49,17.9522,17.8947,JPY,12/13/2022
50,18.0517,17.9918,JPY,12/12/2022
51,18.0608,18.0008,JPY,12/11/2022
52,18.0263,17.9632,JPY,12/8/2022
53,17.9285,17.8591,JPY,12/7/2022
54,18.0915,18.0289,JPY,12/6/2022
55,18.2095,18.1481,JPY,12/5/2022
56,18.3383,18.2758,JPY,12/4/2022
57,18.0819,18.02,JPY,12/1/2022
58,17.759,17.6981,JPY,11/30/2022
59,17.8463,17.7873,JPY,11/29/2022
60,17.8149,17.7532,JPY,11/28/2022
61,17.6833,17.6171,JPY,11/27/2022
62,17.7895,17.7324,JPY,11/24/2022
63,17.3922,17.3234,JPY,11/23/2022
64,17.4105,17.3463,JPY,11/22/2022
65,17.3135,17.2519,JPY,11/21/2022
66,17.4823,17.4254,JPY,11/20/2022
67,17.5548,17.4914,JPY,11/17/2022
68,17.5928,17.524,JPY,11/16/2022
69,17.5947,17.5342,JPY,11/15/2022
70,17.4053,17.3447,JPY,11/14/2022
71,17.6261,17.5633,JPY,11/13/2022
72,16.6999,16.6396,JPY,11/10/2022
73,16.7704,16.7108,JPY,11/9/2022
74,16.6896,16.6354,JPY,11/8/2022
75,16.6155,16.5513,JPY,11/7/2022
76,16.5876,16.5231,JPY,11/6/2022
77,16.4063,16.3314,JPY,11/3/2022
78,16.4803,16.4049,JPY,11/2/2022
79,16.4685,16.3786,JPY,11/1/2022
80,16.2649,16.1766,JPY,10/31/2022
81,16.3684,16.2715,JPY,10/30/2022
82,15.6805,15.5831,JPY,10/27/2022
83,13.4389,13.3647,JPY,10/26/2022
84,13.2634,13.1889,JPY,10/25/2022
85,13.2396,13.1657,JPY,10/24/2022
86,13.3625,13.2886,JPY,10/23/2022
87,13.1716,13.0977,JPY,10/20/2022
88,13.1848,13.1111,JPY,10/19/2022
89,13.229,13.1566,JPY,10/18/2022
90,13.2556,13.1814,JPY,10/17/2022
91,13.2637,13.1885,JPY,10/16/2022
92,13.4463,13.3681,JPY,10/13/2022
93,13.46,13.3835,JPY,10/12/2022
94,13.5505,13.4753,JPY,10/11/2022
95,13.5443,13.4662,JPY,10/10/2022
96,13.5611,13.4838,JPY,10/9/2022
97,13.6409,13.5631,JPY,10/5/2022
98,13.6098,13.5322,JPY,10/4/2022
99,13.5917,13.5137,JPY,10/3/2022
100,13.5464,13.4668,JPY,10/2/2022
101,13.5505,13.4732,JPY,9/29/2022
102,13.5294,13.4495,JPY,9/28/2022
103,13.539,13.4596,JPY,9/27/2022
104,13.57,13.4897,JPY,9/26/2022
105,13.6327,13.5524,JPY,9/25/2022
106,13.8649,13.7813,JPY,9/22/2022
